"site","plot","ec","forest","edge","evergreen"
"CNPS_CA","CNPS_15",0,1.02981515252579,-0.141334601451907,-0.823116918150975
"CNPS_CA","CNPS_16",0,0.0572814374991503,0.99064095867838,-1.19149181494468
"CNPS_CA","CNPS_17",0,-0.886010964329826,1.42761957532292,0.463128658758817
"CNPS_CA","CNPS_18",0,-0.61545038911045,-0.365526311584188,-0.449132369424088
"CNPS_CA","CNPS_19",0,1.36618106583059,-0.966274062293605,1.49294842423411
"CNPS_CA","CNPS_20",1,-0.95181630241525,-0.945125558671597,0.50766401952681
"CNPS_KN","CNPS_04",1,-0.59233492740567,-0.223686633532849,0.641977160135364
"CNPS_KN","CNPS_05",0,-1.06312975702653,0.331496531960299,1.07851085903833
"CNPS_KN","CNPS_06",0,0.229244936978843,1.78397362400732,-0.159243737230089
"CNPS_KN","CNPS_07",0,1.13389888515031,-0.505260425569645,-0.968228773676007
"CNPS_KN","CNPS_08",0,1.18005810194775,-1.16283646333228,-1.36562431238572
"CNPS_KN","CNPS_21",0,-0.887737239644697,-0.223686633532849,0.772608804118115
"CNPS_WB","CNPS_09",1,-0.988903205790465,0.409684021268099,-1.0057368669292
"CNPS_WB","CNPS_10",1,-0.856613692604135,0.259095800381556,0.848328372109827
"CNPS_WB","CNPS_11",1,-0.665967618696581,0.130428937638985,0.722466405602981
"CNPS_WB","CNPS_12",0,0.17443713833651,1.35286194808481,-1.51502813787431
"CNPS_WB","CNPS_13",1,0.964260352523918,-0.527365577853676,0.46189607962849
"CNPS_WB","CNPS_14",1,1.37278702623075,-1.62470512951977,0.488074147462212
"CNPS_YT","CNPS_22",1,0.625302242749639,-1.58881304950819,-0.8944767848537
"CNPS_YT","CNPS_23",0,0.88831516505794,-0.814449654951182,-0.408497658499178
"CNPS_YT","CNPS_24",0,0.218819546132139,0.777226781655668,-0.112198526609616
"CNPS_YT","CNPS_25",1,-1.98892688680576,2.00073614455602,-0.846748864922457
"CNPS_YT","CNPS_27",0,-1.30348618257665,0.333357707559976,-0.539782751722081
"CNPS_YT","CNPS_28",0,0.282581890635086,0.445478359839083,-0.552393128527267
"CNPS_YT","CNPS_29",0,0.26663680533178,-0.572447326535103,1.40482573488826
"CNPS_YT","CNPS_38",0,1.34261512087508,-1.13213885689342,0.568747298723538
"CNPS_YT","CNPS_39",0,-0.16375452088554,-0.00360175054091746,2.21369368683258
"CNPS_YT","CNPS_40",0,0.665146959297627,0.01996090285864,-0.131600874002396
"CNPS_YT","CNPS_41",0,-0.833250139811341,0.534690741959421,-0.701568131307681
"COLW","COLW_01",0,1.56577417530685,-0.997418077137065,-0.818050229531067
"COLW","COLW_02",0,-0.245659535811837,-0.0346705392750181,1.63604552234653
"COLW","COLW_03",1,-0.816384841846725,1.50360337114826,-0.596277531348498
"COLW","COLW_04",1,0.337476496247667,-0.797882342749993,0.259291489729663
"COLW","COLW_05",0,-0.841206293895955,0.326367588013816,-0.48100925119663
"DRSF","DRSF_01",0,0.451145233585943,-0.17979312764919,-0.259592586253053
"DRSF","DRSF_02",0,0.430880785638626,-0.219741463809887,-0.567274370280743
"DRSF","DRSF_03",0,0.329592853658158,-0.251697254607149,1.0464601285444
"DRSF","DRSF_04",0,0.177655237728102,0.478370145022683,0.560227828854731
"DRSF","DRSF_05",0,0.694238557522807,-0.917769739704327,0.383555954227492
"DRSF","DRSF_06",0,0.0358384098529999,0.56372046135363,0.72981925749616
"DRSF","DRSF_07",0,0.836055385397909,-1.41501093605543,-0.180895345082875
"DRSF","DRSF_08",0,-0.774499353746862,1.24839975165052,-0.0124133827399631
"DRSF","DRSF_09",0,0.694238557522807,-0.988066828604827,1.09119175869934
"DRSF","DRSF_10",0,-0.0553172981538101,-0.988066828604827,1.38312636696506
"DRSF","DRSF_11",0,-3.02318979261412,1.97819387381707,-1.89362921223339
"DRSF","DRSF_12",0,-0.0451965100988573,0.978777474167062,-0.824721271275546
"DRSF","DRSF_13",0,0.2485579337063,-0.287315526975338,-1.45585512692162
"FP","FP_01",0,-1.2155123904238,0.366650887808723,-0.999188398916972
"FP","FP_02",0,1.27217280323841,-1.2154358933644,0.0184794235630447
