BirdID,Airport,DOC,N6,Weight,Bursa,Spleen,Sum_r
18LGA072611,LGA,7/26/2018,1,43.13,0.0627,0.0576,3.315
18LGA072612,LGA,7/26/2018,0,55.76,0.1457,0.0448,3.315
18LGA072613,LGA,7/26/2018,0,57.78,0.0634,0.1706,3.315
18LGA072614,LGA,7/26/2018,0,59.06,0.0781,0.1172,3.315
18LGA072615,LGA,7/26/2018,0,68.62,0.157,0.1457,3.315
18LGA072616,LGA,7/26/2018,0,60.41,0.0843,0.1582,3.315
18LGA072617,LGA,7/26/2018,3,60.25,0.0329,0.0609,3.315
18LGA072618,LGA,7/26/2018,0,47.75,0.0849,0.1266,3.315
18LGA072619,LGA,7/26/2018,2,53.76,0.0411,0.0875,3.315
18LGA072620,LGA,7/26/2018,2,54.27,0.074,0.0855,3.315
18LGA072621,LGA,7/26/2018,5,65,0.0709,0.1611,3.315
18LGA080201,LGA,8/2/2018,6,64.09,0.097,0.1264,5.78
18LGA080202,LGA,8/2/2018,0,70.75,0.1544,0.2138,5.78
18LGA080203,LGA,8/2/2018,0,71.44,0.1264,0.1382,5.78
18LGA080204,LGA,8/2/2018,1,66.87,0.1738,0.1857,5.78
18LGA080205,LGA,8/2/2018,3,71.23,0.0907,0.1067,5.78
18LGA080206,LGA,8/2/2018,0,61.31,0.1083,0.1798,5.78
18LGA080207,LGA,8/2/2018,0,60.02,0.1874,0.1928,5.78
18LGA080208,LGA,8/2/2018,1,76.49,0.1176,0.1405,5.78
18LGA080209,LGA,8/2/2018,0,61.76,0.1934,0.1042,5.78
18LGA080210,LGA,8/2/2018,0,64.96,0.1029,0.1005,5.78
18LGA080211,LGA,8/2/2018,1,76.06,0.137,0.1814,5.78
18LGA080212,LGA,8/2/2018,0,73.85,0.1814,0.2149,5.78
18LGA080213,LGA,8/2/2018,0,77.6,0.1958,0.1096,5.78
18LGA080214,LGA,8/2/2018,0,62.41,NA,NA,5.78
18LGA080215,LGA,8/2/2018,1,68.94,0.1281,0.1516,5.78
18LGA080216,LGA,8/2/2018,0,66.5,0.189,0.1333,5.78
18LGA080217,LGA,8/2/2018,0,68.03,0.1342,0.1628,5.78
18LGA083101,LGA,8/31/2018,0,59.95,NA,NA,5.78
18LGA083102,LGA,8/31/2018,2,49.95,NA,NA,5.78
18LGA083103,LGA,8/31/2018,0,52.42,NA,NA,5.78
18LGA083104,LGA,8/31/2018,0,59.74,0.1206,0.0624,5.78
18LGA083105,LGA,8/31/2018,0,55.7,0.1058,0.1235,5.78
18LGA083106,LGA,8/31/2018,1,48.59,0.0494,0.0627,5.78
18LGA083107,LGA,8/31/2018,0,50.13,0.0354,0.0608,5.78
18LGA083108,LGA,8/31/2018,0,62.19,0.0877,0.0179,5.78
18LGA083109,LGA,8/31/2018,0,56.96,0.0376,2.06,5.78
18LGA083110,LGA,8/31/2018,0,57.19,0.0644,0.1775,5.78
18LGA083111,LGA,8/31/2018,2,54.93,0.0604,0.0524,5.78
18LGA083112,LGA,8/31/2018,0,73.32,0.1253,0.1477,5.78
18LGA083113,LGA,8/31/2018,0,64.58,0.0628,0.0784,5.78
18LGA083114,LGA,8/31/2018,3,55.92,0.0286,NA,5.78
18LGA083115,LGA,8/31/2018,1,48.5,0.0315,0.1074,5.78
18LGA083116,LGA,8/31/2018,0,52.91,0.1036,0.1217,5.78
18LGA083117,LGA,8/31/2018,1,58.5,0.0405,0.0984,5.78
18LGA083118,LGA,8/31/2018,0,61.65,0.0708,0.0629,5.78
18LGA083119,LGA,8/31/2018,1,59.65,0.0655,0.1116,5.78
18LGA083120,LGA,8/31/2018,0,55.19,0.0384,0.0693,5.78
18LGA083121,LGA,8/31/2018,0,52,0.0634,0.1234,5.78
18TEB062018,TEB,6/20/2018,0,62.21,NA,NA,3.5175
18TEB062002,TEB,6/20/2018,0,68.79,NA,NA,3.5175
18TEB062003,TEB,6/20/2018,2,75.34,NA,NA,3.5175
18TEB062004,TEB,6/20/2018,0,67.84,NA,NA,3.5175
18TEB062005,TEB,6/20/2018,3,61.64,NA,NA,3.5175
18TEB062006,TEB,6/20/2018,0,66.85,NA,NA,3.5175
18TEB062007,TEB,6/20/2018,2,58.14,NA,0.0982,3.5175
18TEB062008,TEB,6/20/2018,0,68.04,NA,0.2152,3.5175
18TEB062201,TEB,6/22/2018,0,68.78,NA,NA,3.5175
18TEB062202,TEB,6/22/2018,0,78.08,NA,NA,3.5175
18TEB062203,TEB,6/22/2018,4,70.73,NA,NA,3.5175
18TEB062204,TEB,6/22/2018,3,71.6,NA,NA,3.5175
18TEB062205,TEB,6/22/2018,0,68.86,NA,NA,3.5175
18TEB062206,TEB,6/22/2018,0,67.95,NA,NA,3.5175
18TEB062207,TEB,6/22/2018,1,75.78,NA,NA,3.5175
18TEB062208,TEB,6/22/2018,14,70.75,NA,NA,3.5175
18TEB070301,TEB,7/3/2018,0,71.71,0.2199,0.2421,3.315
18TEB070302,TEB,7/3/2018,0,62.58,0.2239,0.2429,3.315
18TEB070303,TEB,7/3/2018,2,61.37,0.1945,NA,3.315
18TEB070304,TEB,7/3/2018,3,72.31,0.2417,0.2114,3.315
18TEB070305,TEB,7/3/2018,2,70.15,0.2503,0.1568,3.315
18TEB070306,TEB,7/3/2018,0,58.74,0.1353,0.2589,3.315
18TEB070307,TEB,7/3/2018,1,67.69,0.143,0.2114,3.315
18TEB070308,TEB,7/3/2018,1,60.86,0.225,0.2593,3.315
18TEB070309,TEB,7/3/2018,0,74.9,0.2405,0.1122,3.315
18TEB070310,TEB,7/3/2018,0,64.03,0.1619,0.1408,3.315
18TEB070311,TEB,7/3/2018,0,76.44,0.1529,0.1625,3.315
18TEB070312,TEB,7/3/2018,0,80.16,0.1843,0.2512,3.315
18TEB070601,TEB,7/6/2018,1,73.89,NA,NA,3.315
18TEB070602,TEB,7/6/2018,4,62.48,NA,NA,3.315
18TEB070603,TEB,7/6/2018,0,71.97,NA,NA,3.315
18TEB072501,TEB,7/25/2018,0,66.77,NA,NA,3.315
18TEB072502,TEB,7/25/2018,1,63.38,NA,NA,3.315
18TEB072503,TEB,7/25/2018,1,68.35,NA,0.1636,3.315
18TEB072504,TEB,7/25/2018,0,72.95,NA,0.091,3.315
18TEB072505,TEB,7/25/2018,1,62.85,NA,0.1262,3.315
18TEB072506,TEB,7/25/2018,2,67.47,0.1224,0.1854,3.315
18TEB072507,TEB,7/25/2018,2,68.24,0.101,0.2207,3.315
18TEB072508,TEB,7/25/2018,1,66.87,0.0914,0.0573,3.315
18TEB072509,TEB,7/25/2018,1,69.39,0.0642,0.2069,3.315
18TEB072510,TEB,7/25/2018,0,65.79,0.1445,0.1304,3.315
18TEB072511,TEB,7/25/2018,0,66.02,0.224,0.1646,3.315
18TEB072512,TEB,7/25/2018,0,62.37,NA,NA,3.315
18TEB072513,TEB,7/25/2018,2,64.17,NA,NA,3.315
18TEB072514,TEB,7/25/2018,0,51.82,NA,NA,3.315
18TEB072515,TEB,7/25/2018,0,60.12,NA,NA,3.315
18TEB080101,TEB,8/1/2018,2,67.66,0.1547,0.1626,5.78
18TEB080102,TEB,8/1/2018,0,67.84,0.2266,NA,5.78
18TEB080103,TEB,8/1/2018,0,57.25,0.0873,0.0902,5.78
18TEB080104,TEB,8/1/2018,0,64.79,0.1247,0.0977,5.78
18TEB080105,TEB,8/1/2018,2,61.27,0.1992,0.2361,5.78
18TEB080106,TEB,8/1/2018,0,60.5,0.0851,0.1887,5.78
18TEB080107,TEB,8/1/2018,1,64.8,0.1041,0.0577,5.78
18TEB080108,TEB,8/1/2018,0,68.56,0.1034,0.1892,5.78
18TEB080109,TEB,8/1/2018,0,63.74,0.0939,0.0871,5.78
18TEB080110,TEB,8/1/2018,2,62.94,0.1135,0.1455,5.78
18TEB080301,TEB,8/3/2018,0,65.89,0.0285,0.044,5.78
18TEB080302,TEB,8/3/2018,1,73.17,0.1568,0.0432,5.78
18TEB080303,TEB,8/3/2018,0,68.25,0.1364,0.2329,5.78
18TEB080304,TEB,8/3/2018,0,69.91,0.042,0.082,5.78
18TEB080305,TEB,8/3/2018,0,64.11,0.1013,0.2138,5.78
18TEB080701,TEB,8/17/2018,0,79.21,NA,0.2259,5.78
18TEB080702,TEB,8/17/2018,2,72.47,0.2245,0.2069,5.78
18TEB080703,TEB,8/17/2018,3,78.39,0.1447,0.1675,5.78
18TEB080704,TEB,8/17/2018,4,73.58,0.1908,0.2904,5.78
18TEB080705,TEB,8/17/2018,1,68.51,0.1583,0.2116,5.78
18TEB080706,TEB,8/17/2018,1,82.63,0.153,0.1455,5.78
18TEB080707,TEB,8/17/2018,0,74.42,0.1409,0.0967,5.78
18TEB080708,TEB,8/17/2018,0,73.28,0.1822,0.2584,5.78
18TEB080709,TEB,8/17/2018,1,87.81,0.2601,0.2938,5.78
18TEB080710,TEB,8/17/2018,0,68.22,0.2386,0.1833,5.78
18TEB080711,TEB,8/17/2018,2,79.31,0.2099,0.2393,5.78
18TEB080712,TEB,8/17/2018,0,80.86,0.1479,0.2812,5.78
18TEB080713,TEB,8/17/2018,2,81.66,0.244,0.1058,5.78
18TEB080714,TEB,8/17/2018,1,77.64,0.2583,0.2168,5.78
