BirdID,DOC,Weight,Bursa,Spleen,N6,Airport,Sum_r
19JFK082905,8/29/2019,54.66,0.0773,0.0497,0,JFK,5.73
19JFK082908,8/29/2019,59.05,0.062,0.057,3,JFK,5.73
19JFK082903,8/29/2019,51.21,0.588,0.0607,0,JFK,5.73
19JFK082902,8/29/2019,45.96,0.0582,0.0638,1,JFK,5.73
19JFK082901,8/29/2019,55.99,0.0561,0.0674,0,JFK,5.73
19JFK082904,8/29/2019,58.03,0.0822,0.0703,1,JFK,5.73
19JFK082906,8/29/2019,56.21,0.1031,0.081,0,JFK,5.73
19JFK082907,8/29/2019,54.49,0.0842,NA,0,JFK,5.73
19EWR083002,8/30/2019,58.61,0.1371,0.0877,2,EWR,5.73
19EWR083001,8/30/2019,60.65,0.0763,0.2026,2,EWR,5.73
19TEB090509,9/5/2019,64.94,0.1332,0.0806,1,TEB,4.5925
19TEB090507,9/5/2019,63.05,0.0785,0.0884,2,TEB,4.5925
19TEB090501,9/5/2019,70.63,0.1046,0.0951,2,TEB,4.5925
19TEB090511,9/5/2019,83.31,0.1696,0.1239,0,TEB,4.5925
19TEB090513,9/5/2019,77.36,0.127,0.1294,0,TEB,4.5925
19TEB090519,9/5/2019,72.74,0.1875,0.1316,0,TEB,4.5925
19TEB090520,9/5/2019,72.11,0.0948,0.1333,1,TEB,4.5925
19TEB090517,9/5/2019,74.43,0.1541,0.1474,0,TEB,4.5925
19TEB090510,9/5/2019,65.98,0.1824,0.1515,0,TEB,4.5925
19TEB090516,9/5/2019,70.17,0.1151,0.1674,2,TEB,4.5925
19TEB090506,9/5/2019,75.24,0.0891,0.1695,0,TEB,4.5925
19TEB090518,9/5/2019,72.27,0.1209,0.1908,0,TEB,4.5925
19TEB090502,9/5/2019,74.13,0.1206,0.2186,0,TEB,4.5925
19TEB090512,9/5/2019,73.53,0.1431,0.2395,3,TEB,4.5925
19TEB090515,9/5/2019,66.65,0.091,0.2396,1,TEB,4.5925
19TEB090508,9/5/2019,68.59,0.1569,0.2481,1,TEB,4.5925
19TEB090514,9/5/2019,72.24,0.1245,0.2778,2,TEB,4.5925
19TEB090503,9/5/2019,77.32,0.0804,0.385,1,TEB,4.5925
19TEB090505,9/5/2019,75.25,0.1738,0.5033,1,TEB,4.5925
19TEB090504,9/5/2019,77.53,0.077,NA,0,TEB,4.5925
19JFK091301,9/13/2019,49.44,0.0463,0.0795,0,JFK,4.5925
